LoanRange,BusinessName,Address,City,State,Zip,BusinessType,JobsRetained,DateApproved,Lender
"d $350,000-1 million",HELENA ORTHOPAEDIC CLINIC PLLP,2442 Winne Ave,HELENA,MT,59601,Corporation,34,04/04/2020,Opportunity Bank of Montana
"d $350,000-1 million",HELENA SURGICENTER LLC,2440 WINNE AVE,HELENA,MT,59601,Limited  Liability Company(LLC),11,04/09/2020,First Interstate Bank
"d $350,000-1 million","HELLBAR, INC",3527 10TH AVE S,GREAT FALLS,MT,59405,Subchapter S Corporation,82,04/14/2020,Stockman Bank of Montana
"d $350,000-1 million","HELLER GROUP, INC.",1221 ECHELON PL,HELENA,MT,59602,Corporation,35,04/04/2020,Opportunity Bank of Montana
"d $350,000-1 million",HERITAGE INN INC,1700 Fox Farm Rd,GREAT FALLS,MT,59405,Subchapter S Corporation,130,04/03/2020,Stockman Bank of Montana
"d $350,000-1 million",HI HEAT INDUSTRIES INC,256 HANOVER RD,LEWISTOWN,MT,59457,Corporation,64,04/06/2020,Glacier Bank
"d $350,000-1 million",HI LINE RETIREMENT CENTER,PO BOX 770,MALTA,MT,59538,Non-Profit Organization,69,04/27/2020,The First State Bank of Malta
"d $350,000-1 million",HI LINE TRUCKING INC,12931 MT HWY 16,SIDNEY,MT,59270,Corporation,20,04/03/2020,Stockman Bank of Montana
"d $350,000-1 million","HI-BALL TRUCKING, INC.",6925 Commercial Ave.,BILLINGS,MT,59101,Corporation,26,04/03/2020,The Yellowstone Bank
"d $350,000-1 million","HI-LINE MOVING SERVICES, INC.",4500 North Star Blvd,GREAT FALLS,MT,59405,Corporation,78,04/09/2020,First Interstate Bank
"d $350,000-1 million","HI-NOON PETROLEUM, INC.",1101 S 6TH ST W,MISSOULA,MT,59801,Corporation,48,04/11/2020,First Interstate Bank
"d $350,000-1 million",HIGHGATE BILLINGS LP,3980 PARKHILL DR,BILLINGS,MT,59102,Partnership,80,05/03/2020,"U.S. Bank, National Association"
"d $350,000-1 million",HIGHGATE BOZEMAN LP,2219 OAK ST W,BOZEMAN,MT,59718,Partnership,79,05/03/2020,"U.S. Bank, National Association"
"d $350,000-1 million",HIGHGATE GREAT FALLS LP,3000 11TH AVE S,GREAT FALLS,MT,59405,Partnership,48,05/03/2020,"U.S. Bank, National Association"
"d $350,000-1 million",HIGHLINE ADVENTURE LLC,811 O'Connell Dr,BOZEMAN,MT,59715,Limited  Liability Company(LLC),82,04/15/2020,First Interstate Bank
"d $350,000-1 million","HIGHWAY SPECIALTIES, INC",2424 Old Havre Hwy,BLACK EAGLE,MT,59414,Corporation,11,04/03/2020,Stockman Bank of Montana
"d $350,000-1 million","HILL MASONRY, INC.",868 PARKWAY LN,BILLINGS,MT,59101,Subchapter S Corporation,23,06/23/2020,Stockman Bank of Montana
"d $350,000-1 million",HKJ INC,1120 Cedar St,MISSOULA,MT,59802,Corporation,73,04/07/2020,First Interstate Bank
"d $350,000-1 million",HKT TRACTOR & IMPLEMENT,701 S CENTRAL AVE,SIDNEY,MT,59270,Subchapter S Corporation,30,04/03/2020,Stockman Bank of Montana
"d $350,000-1 million","HOFFMAN'S R & M SERVICES, INC.",2100 Meadowlark,BUTTE,MT,59701,Subchapter S Corporation,0,04/06/2020,Glacier Bank
"d $350,000-1 million",HOTHOUSE LLC,1001 Sw Higgins Ave Suite 203,MISSOULA,MT,59801,Limited Liability Partnership,145,04/08/2020,First Interstate Bank
"d $350,000-1 million",HOVEN EQUIPMENT COMPANY,4181 North Park Trail,GREAT FALLS,MT,59405,Subchapter S Corporation,36,04/06/2020,Opportunity Bank of Montana
"d $350,000-1 million","HUMAN RESOURCE DEVELOPMENT COUNCIL OF DISTRICT IX, INC.",32 S TRACY AVE,BOZEMAN,MT,59715,Non-Profit Organization,176,04/14/2020,Glacier Bank
"d $350,000-1 million",HUNGRY MOOSE LLC,209 Aspen Leaf Dr,BIG SKY,MT,59716,Limited  Liability Company(LLC),45,04/08/2020,Glacier Bank
"d $350,000-1 million","INNERCORE OPTICS, LLC.","27 N 27TH ST, STE 21-E",BILLINGS,MT,59101,Limited  Liability Company(LLC),46,04/05/2020,Amarillo National Bank
"d $350,000-1 million","INSPIRED MADNESS, INC.","109 E OAK ST, STE 1L",BOZEMAN,MT,59715,Corporation,81,04/08/2020,Glacier Bank
"d $350,000-1 million","INTERNATIONAL TOWERS, LLC","63066 Old Hwy 93, Suite I-2",SAINT IGNATIUS,MT,59865,Limited  Liability Company(LLC),76,04/10/2020,First Interstate Bank
"d $350,000-1 million",INTERTRIBAL AGRICULTRUAL COUNCIL,100 North 27th Street Suite 500,BILLINGS,MT,59101,Corporation,25,04/10/2020,First Interstate Bank
"d $350,000-1 million",J & S ENTERPRISES,3104  N Audubon Way,BILLINGS,MT,59106,Subchapter S Corporation,28,04/03/2020,Stockman Bank of Montana
"d $350,000-1 million",J&H OFFICE EQUIPMENT INC.,203 Haggerty Lane,BOZEMAN,MT,59715,Corporation,31,04/03/2020,American Bank
"d $350,000-1 million","JACKOLA ENGINEERING & ARCHITECTURE, PC",2250 US HIGHWAY 93 South,KALISPELL,MT,59901,Corporation,39,04/05/2020,"First Montana Bank, Inc."
"d $350,000-1 million",JAHNKE & JAHNKE INC,PO BOX 10250,KALISPELL,MT,59901,Subchapter S Corporation,241,04/06/2020,Glacier Bank
"d $350,000-1 million","JAM FUSION, LLC",25 W MAIN ST,BOZEMAN,MT,59715,Limited  Liability Company(LLC),42,04/04/2020,Glacier Bank
"d $350,000-1 million",JAMES E TURLEY D D S P C,315 N 25th St #101,BILLINGS,MT,59101,Corporation,47,04/11/2020,First Interstate Bank
"d $350,000-1 million","JAMES, MICHAEL & STEVEN TAYLOR",4100 10TH AVE. SOUTH,GREAT FALLS,MT,59405,Subchapter S Corporation,66,04/14/2020,"U.S. Bank, National Association"
"d $350,000-1 million",JIM E & MARY M GEORGE,2782 Broadwater Ave,HELENA,MT,59602,Corporation,91,04/03/2020,Stockman Bank of Montana
"d $350,000-1 million",JIM GILMAN EXCAVATING INCORPORATED,3099 GRAND AVE,BUTTE,MT,59701,Corporation,17,04/27/2020,"First Montana Bank, Inc."
"d $350,000-1 million",JIM-N-I INC,5415 e fork,LEWISTOWN,MT,59457,Corporation,67,04/03/2020,American Bank
"d $350,000-1 million",JNL BROWN TRUCKING CORP,1601 2nd Ave N #128,GREAT FALLS,MT,59401,Corporation,87,04/28/2020,First Interstate Bank
"d $350,000-1 million","JONATHAN L. FOOTE & ASSOCIATES, INC.","140 E Main Street, Suite A",BOZEMAN,MT,59715,Corporation,20,04/07/2020,First Interstate Bank
"d $350,000-1 million","JONES BROTHERS TRUCKING, INC.",6681 COMMERCIAL LN,MISSOULA,MT,59808,Corporation,76,04/03/2020,Glacier Bank
"d $350,000-1 million","JORDAN CONTRACTING, INC.",373 ARBITER PLANT RD,ANACONDA,MT,59711,Corporation,40,04/05/2020,"First Montana Bank, Inc."
"d $350,000-1 million","JUSTIN MILLS (EPC) ROCKY MOUNTAIN ELECTRIC, INC. (OC)",101 VILLAGE CENTER LANE,BOZEMAN,MT,59718,Corporation,51,04/07/2020,Bank of Bozeman
"d $350,000-1 million",K & K TRUCKING INC,5100 49TH ST SW,GREAT FALLS,MT,59404,Corporation,35,04/08/2020,First Interstate Bank
"d $350,000-1 million",KALISPELL ASSEMBLY OF GOD CHURCH,255 SUMMIT RIDGE DR,KALISPELL,MT,59901,Non-Profit Organization,33,04/04/2020,Glacier Bank
"d $350,000-1 million",KALISPELL FORD LLC,2000 Rose Xing,KALISPELL,MT,59901,Limited  Liability Company(LLC),77,04/12/2020,"Alerus Financial, National Association"
"d $350,000-1 million",KALISPELL REHABILITATION ASSOCIATES,690 N Meridian Suite 201,KALISPELL,MT,59901,Subchapter S Corporation,24,04/15/2020,First Interstate Bank
"d $350,000-1 million",KARST STAGE INC,511 North Wallace,BOZEMAN,MT,59715,Corporation,28,04/03/2020,Stockman Bank of Montana
"d $350,000-1 million",KC TRANSPORT LLT,35212 County Road 127,SIDNEY,MT,59270,Limited  Liability Company(LLC),70,04/03/2020,Stockman Bank of Montana
"d $350,000-1 million",KELSHIR KING INC.,8488 HUFFINE LN,BOZEMAN,MT,59718,Corporation,31,04/05/2020,Glacier Bank
"d $350,000-1 million","KENETREK, LLC",96 NORTHSTAR LN,BOZEMAN,MT,59718,Limited  Liability Company(LLC),20,04/03/2020,American Bank
"d $350,000-1 million",KISMET BIG  LLC,1050 Grand Drive,BIGFORK,MT,59911,Limited  Liability Company(LLC),42,04/12/2020,First Interstate Bank
"d $350,000-1 million",KISMET GPI  LLC,171 Heritage Way,KALISPELL,MT,59901,Limited  Liability Company(LLC),62,04/12/2020,First Interstate Bank
"d $350,000-1 million",KLAMATH FALLS AUTOMOTIVE LLC,3643 PIERCE PKWY,BILLINGS,MT,59106,Limited  Liability Company(LLC),53,04/04/2020,Glacier Bank
"d $350,000-1 million",KYONG LLC,1002 CHIEF JOSEPH CLUSTER,MISSOULA,MT,59808,Limited  Liability Company(LLC),193,04/04/2020,Glacier Bank
"d $350,000-1 million","L AND L SITE SERVICES, INC.",100 RUSSELL LN,BELGRADE,MT,59714,Corporation,32,04/09/2020,American Bank
"d $350,000-1 million",L.P. ANDERSON TIRE CO  INC.,3741 Montana Ave,BILLINGS,MT,59101,Subchapter S Corporation,38,04/13/2020,First Interstate Bank
"d $350,000-1 million",LAGRECA EYE CLINIC PC,2475 VILLAGE LN,BILLINGS,MT,59102,Corporation,25,04/04/2020,Glacier Bank
"d $350,000-1 million","LANTIS ENTERPRISES, INC.",1415 Yellowstone River Road,BILLINGS,MT,59105,Sole Proprietorship,65,04/15/2020,"Readycap Lending, LLC"
"d $350,000-1 million","LATTICE MATERIALS, LLC",516 E TAMARACK ST,BOZEMAN,MT,59715,Limited  Liability Company(LLC),38,04/05/2020,CIBC Bank USA
"d $350,000-1 million","LAUREL SPARTAN, LLC",500 4TH ST SE,LAUREL,MT,59044,Limited  Liability Company(LLC),44,05/03/2020,"U.S. Bank, National Association"
"d $350,000-1 million","LIBBY OF CASCADIA, LLC",308 E 3RD ST,LIBBY,MT,59923,Limited  Liability Company(LLC),100,04/29/2020,"BOKF, National Association"
"d $350,000-1 million",LIBERTY ELECTRIC INC,9660 SUMMIT DR,MISSOULA,MT,59808,Subchapter S Corporation,62,04/07/2020,Stockman Bank of Montana
"d $350,000-1 million","LINCOLN COUNTY COMMUNITY HEALTH CENTER, INC",320 E 2nd Street,LIBBY,MT,59923,Non-Profit Organization,65,04/14/2020,Lincoln County CU
"d $350,000-1 million",LINCOLN ELECTRIC CO-OP INC,312 OSLOSKI RD,EUREKA,MT,59917,Cooperative,22,05/14/2020,Glacier Bank
"d $350,000-1 million","LOCATI ARCHITECTS, LLC",1007 E. Main Sreet Ste. 202,BOZEMAN,MT,59715,Subchapter S Corporation,35,04/04/2020,American Bank
"d $350,000-1 million","LOENBRO PLUMBING, HEATING & ELECTRICAL, LLC",1900 32ND AVE,BLACK EAGLE,MT,59414,Limited  Liability Company(LLC),24,04/06/2020,Citizens Alliance Bank
"d $350,000-1 million",LONE PEAK PHYSICAL THERAPY INC,334 Town Center Ave,BIG SKY,MT,59716,Subchapter S Corporation,51,04/03/2020,Stockman Bank of Montana
"d $350,000-1 million",LOOMIS ENTERPRISES INC,302 Madison Avenue,WEST YELLOWSTONE,MT,59758,Corporation,68,04/04/2020,Glacier Bank
"d $350,000-1 million",LOWER YELLOWSTONE RURAL ELECTRIC COOPERATIVE INC,PO BOX 1047,SIDNEY,MT,59270,Cooperative,31,04/08/2020,Stockman Bank of Montana
"d $350,000-1 million",LWK ASSOCIATES OF MONTANA LLC,1311 Harrison Ave,BUTTE,MT,59701,Partnership,66,04/08/2020,Three Rivers Bank of Montana
"d $350,000-1 million",M & D CONSTRUCTION INC,4415 18TH AVE NO,GREAT FALLS,MT,59405,Subchapter S Corporation,30,04/03/2020,Stockman Bank of Montana
"d $350,000-1 million","MA PROPERTY LEASING, INC.",9705 LOST PRAIRIE RD,MARION,MT,59925,Corporation,72,04/30/2020,Glacier Bank
"d $350,000-1 million",MACON SUPPLY INC,2730 GABEL RD,BILLINGS,MT,59102,Corporation,60,04/03/2020,Stockman Bank of Montana
"d $350,000-1 million","MADISON VALLEY HOSPITAL, INC",305 N Main Street,ENNIS,MT,59729,Non-Profit Organization,87,04/14/2020,Madison Valley Bank
"d $350,000-1 million","MAKENNA HOTEL INVESTMENTS, LLC",27 N 27TH STREET,BILLINGS,MT,59101,Limited  Liability Company(LLC),91,04/03/2020,Glacier Bank
"d $350,000-1 million",MANHATTAN CHRISTIAN SCHOOL,8000 CHURCHILL RD,MANHATTAN,MT,59741,Non-Profit Organization,73,04/06/2020,Stockman Bank of Montana
"d $350,000-1 million","MARIAS RIVER ELECTRIC COOPERATIVE, INC.",910 W ROOSEVELT HWY,SHELBY,MT,59474,Cooperative,20,06/26/2020,CoBank ACB
"d $350,000-1 million","MARKOVICH CONSTRUCTION, INC.",2827 Lexington Avenue,BUTTE,MT,59701,Corporation,31,04/04/2020,First Citizens Bank of Butte
"d $350,000-1 million","MATOVICH ENTERPRISES, INC.",133 N 5TH STREET,COLUMBUS,MT,59019,Subchapter S Corporation,81,04/11/2020,The Yellowstone Bank
"d $350,000-1 million",MAW-BOZEMAN LLC,611 E. MAIN STREET,BOZEMAN,MT,59715,Limited  Liability Company(LLC),140,04/10/2020,First Interstate Bank
"d $350,000-1 million",MCCONE COUNTY HEALTH CENTER INC,605 Sulivan Avenue PO Box 48,CIRCLE,MT,59215,Non-Profit Organization,3,04/03/2020,Stockman Bank of Montana
"d $350,000-1 million","MCCONE ELECTRIC CO-OP, INC.",110 Main Street,CIRCLE,MT,59215,Cooperative,22,04/13/2020,Grasslands FCU
"d $350,000-1 million","MCT, INC.",200 N ADAMS ST,MISSOULA,MT,59802,Corporation,112,04/03/2020,Glacier Bank
"d $350,000-1 million",MEADOW LAKE DEVELOPMENT CORPORATION,100 SAINT ANDREWS DR,COLUMBIA FALLS,MT,59912,Subchapter S Corporation,46,04/05/2020,Glacier Bank
"d $350,000-1 million","MERCANTILE INVESTORS, LLC",20 N TRACY AVE,BOZEMAN,MT,59715,Corporation,47,04/04/2020,Stockman Bank of Montana
"d $350,000-1 million","MERWIN, INC",176 Milwaukee Ave,BAKER,MT,59313,Corporation,19,04/05/2020,The Bank of Baker
"d $350,000-1 million","METAL WORKS OF MONTANA, INC.",3635 W BROADWAY ST,MISSOULA,MT,59808,Corporation,54,04/03/2020,Glacier Bank
"d $350,000-1 million","MF, INC.",190 HWY 135,PARADISE,MT,59856,Corporation,94,04/15/2020,Rocky Mountain Bank
"d $350,000-1 million",MH FORD CO,50 Ford Lane,BUTTE,MT,59701,Corporation,50,04/03/2020,Stockman Bank of Montana
"d $350,000-1 million",MIDLAND IMPLEMENT CO,402 Daniel St,BILLINGS,MT,59101,Corporation,42,04/14/2020,Solera National Bank
"d $350,000-1 million",MIDLAND MECHANICAL INC,240 Moore Lane,BILLINGS,MT,59101,Corporation,25,04/03/2020,Stockman Bank of Montana
"d $350,000-1 million","MILODRAGOVICH, DALE & STEINBRENNER PC",620 HIGH PARK WAY,MISSOULA,MT,59803,Corporation,30,04/04/2020,Glacier Bank
"d $350,000-1 million",MINUTEMAN AVIATION INC,5225 US HIGHWAY 10 W #16,MISSOULA,MT,59808,Corporation,44,04/04/2020,Stockman Bank of Montana
"d $350,000-1 million","MISSIONS UNITED, INC.",3940 RIMROCK RD,BILLINGS,MT,59102,Corporation,142,04/05/2020,Rocky Mountain Bank
"d $350,000-1 million",MISSOULA BOTTLING COMPANY,339 International,MISSOULA,MT,59808,Corporation,57,04/04/2020,Stockman Bank of Montana
"d $350,000-1 million","MISSOULA COMMUNITY HEALTH SERVICES, INC.",1208 6th Avenue E,SUPERIOR,MT,59872,Non-Profit Organization,85,04/04/2020,TrailWest Bank
"d $350,000-1 million","MISSOULA CORRECTIONAL SERVICES, INC.",2350 MULLAN RD,MISSOULA,MT,59808,Non-Profit Organization,56,04/03/2020,Glacier Bank
"d $350,000-1 million",MISSOULA DEVELOPMENTAL SERVICE CORPORATION,1005 Marshall St.,MISSOULA,MT,59801,Non-Profit Organization,183,06/22/2020,First Interstate Bank
"d $350,000-1 million",MISSOULA FRESH MARKET LLC,2520 39th Street,MISSOULA,MT,59803,Limited  Liability Company(LLC),181,04/14/2020,First Interstate Bank
"d $350,000-1 million","MISSOULA MOTOR PARTS, INC.",1136 STRAND AVE,MISSOULA,MT,59801,Subchapter S Corporation,44,04/03/2020,Glacier Bank
"d $350,000-1 million","MISSOULA SPARTAN, LLC",1600 STEPHENS AVE,MISSOULA,MT,59801,Limited  Liability Company(LLC),39,05/03/2020,"U.S. Bank, National Association"
"d $350,000-1 million","MISSOURI RIVER CONTRACTORS, LLC",3384 US HIGHWAY 12,HELENA,MT,59601,Limited  Liability Company(LLC),60,06/03/2020,Ascent Bank
"d $350,000-1 million","MONTANA AIR CARTAGE, INC.",5700 TITAN AVE,BILLINGS,MT,59101,Subchapter S Corporation,105,04/27/2020,The Yellowstone Bank
"d $350,000-1 million",MONTANA BURGERS INC,2808 CARLA JO LN,MISSOULA,MT,59803,Corporation,182,04/04/2020,Glacier Bank
"d $350,000-1 million","MONTANA CIVIL CONTRACTORS, INC.",62 Skyway Blvd,BELGRADE,MT,59714,Subchapter S Corporation,18,04/09/2020,First Interstate Bank
"d $350,000-1 million",MONTANA COFFEE TRADERS INC,5810 Hwy 93 South,WHITEFISH,MT,59937,Corporation,112,04/09/2020,First Interstate Bank
"d $350,000-1 million",MONTANA COMMUNITY DEVELOPMENT CORPORATION,229 E MAIN ST,MISSOULA,MT,59802,Non-Profit Organization,28,04/04/2020,Glacier Bank
"d $350,000-1 million",MONTANA COMMUNITY SERVICES INC,993 South 24th St West Suite B,BILLINGS,MT,59102,Subchapter S Corporation,55,04/07/2020,The Yellowstone Bank
"d $350,000-1 million","MONTANA CONSERVATION CORPS, INC.",206 N Grand,BOZEMAN,MT,59715,Non-Profit Organization,480,04/12/2020,"First Montana Bank, Inc."
"d $350,000-1 million",MONTANA FABRICATION WORKS LLC,PO Box 629,STEVENSVILLE,MT,59870,Sole Proprietorship,35,04/14/2020,"Readycap Lending, LLC"
"d $350,000-1 million",MONTANA HEALTH NETWORK INC,519 Pleasant St,MILES CITY,MT,59301,Corporation,59,04/12/2020,First Interstate Bank
"d $350,000-1 million","MONTANA HYDRAULICS, LLC",888 FLORENCE ST,HELENA,MT,59601,Limited  Liability Company(LLC),36,04/04/2020,Opportunity Bank of Montana
"d $350,000-1 million",MONTANA INSTRUMENTS CORPORATION,101 EVERGREEN DR APT D,BOZEMAN,MT,59715,Corporation,45,04/14/2020,Rocky Mountain Bank
"d $350,000-1 million",MONTANA LEGAL SERVICES ASSOCIATION,616 Helena Ave. Suite 100,HELENA,MT,59601,Non-Profit Organization,46,04/15/2020,First Interstate Bank
"d $350,000-1 million","MONTANA LINEN SUPPLY, LLC",206 Yukon,BELGRADE,MT,59714,Limited  Liability Company(LLC),60,04/07/2020,American Bank
"d $350,000-1 million",MONTANA MERCHANDISING INC,2123 VAUGHN RD,GREAT FALLS,MT,59404,Corporation,35,04/07/2020,American Bank Center
"d $350,000-1 million","MONTANA OFFICE MACHINES, INC.",700 SUNSET BLVD,KALISPELL,MT,59901,Subchapter S Corporation,33,04/05/2020,Glacier Bank
"d $350,000-1 million",MONTANA RECLAIMED LUMBER CO,39 Jays Way,GALLATIN GATEWAY,MT,59730,Corporation,44,04/11/2020,First Interstate Bank
"d $350,000-1 million","MONTANA ROCKWORKS, INC",1107 Rose Crossing,KALISPELL,MT,59901,Subchapter S Corporation,80,04/06/2020,Freedom Bank
"d $350,000-1 million",MONTANA SCHOOL BOARDS ASSOCIATION INC,863 Great Northern Blvd Ste 301,HELENA,MT,59601,Non-Profit Organization,27,04/14/2020,Glacier Bank
"d $350,000-1 million",MONTANA SULPHUR & CHEMICAL COMPANY,627 EXXONMOBIL RD,BILLINGS,MT,59101,Corporation,41,04/28/2020,City National Bank
"d $350,000-1 million",MOULTON BELLINGHAM PC,"27 NORTH 27TH STREET, STE 1900",BILLINGS,MT,59101,Corporation,37,04/06/2020,Glacier Bank
"d $350,000-1 million",MOUNTAIN SUPPLY CO.,2101 Mullan Rd.,MISSOULA,MT,59808,Corporation,50,04/10/2020,First Interstate Bank
"d $350,000-1 million",MOUNTAIN VIEW PIZZA COMPANY,225 2ND ST S SUITE 2,GREAT FALLS,MT,59405,Corporation,253,04/07/2020,Independence Bank
"d $350,000-1 million","MOUNTAINVIEW MEDICAL CENTER, INC.",16 West MAIN ST,WHITE SULPHUR SPRINGS,MT,59645,Non-Profit Organization,49,04/05/2020,First Security Bank of Deer Lodge
"d $350,000-1 million","MRCH-BILLINGS, LLC",1849 MAJESTIC LN,BILLINGS,MT,59102,Limited  Liability Company(LLC),85,04/05/2020,Glacier Bank
"d $350,000-1 million",MTT LLC,1232 NORTH 15TH ST   STE 3,BOZEMAN,MT,59715,Limited  Liability Company(LLC),93,04/08/2020,IBERIABANK
"d $350,000-1 million","MUNGAS COMPANY, INC.",108 SANSOME ST,PHILIPSBURG,MT,59858,Corporation,26,04/09/2020,Glacier Bank
"d $350,000-1 million","MYTTY EXCAVATING, INC.",2800 S Reserve Street,MISSOULA,MT,59801,Corporation,49,04/04/2020,TrailWest Bank
"d $350,000-1 million","N W CONSTRUCTION, INC.",7585 SHEDHORN DR,BOZEMAN,MT,59718,Subchapter S Corporation,40,04/14/2020,First Interstate Bank
"d $350,000-1 million",NATIONAL FOREST FOUNDATION,27 Fort Missoula Rd Ste 3,MISSOULA,MT,59804,Non-Profit Organization,34,04/05/2020,Arbor Bank
"d $350,000-1 million","NATIONAL QUALITY INSPECTIONS, INC.",PO Box 11710,BOZEMAN,MT,59719,Corporation,83,04/30/2020,Frandsen Bank & Trust
"d $350,000-1 million",NELCON INC,304 Jellison,KALISPELL,MT,59901,Corporation,54,04/06/2020,Three Rivers Bank of Montana
"d $350,000-1 million",NEURO-ID INC.,911 Wisconsin Ave Ste 203,KALISPELL,MT,59901,Corporation,23,04/08/2020,Three Rivers Bank of Montana
"d $350,000-1 million","NEW DAY, INC.","1724 Lampman Dr,",BILLINGS,MT,59102,Non-Profit Organization,101,04/10/2020,The Yellowstone Bank
"d $350,000-1 million","NEWLAND AND COMPANY, A PROFESSIONAL CORPORATION",2900 Lexington,BUTTE,MT,59701,Subchapter S Corporation,0,04/07/2020,Glacier Bank
"d $350,000-1 million","NOBLE EXCAVATING, INC.",PO BOX 1592,LIBBY,MT,59923,Subchapter S Corporation,78,04/06/2020,Glacier Bank
"d $350,000-1 million","NORPAC SHEET METAL, INC.",7072 Commercial Ave.,BILLINGS,MT,59107,Corporation,47,04/11/2020,First Interstate Bank
"d $350,000-1 million",NORTANA GRAIN COMPANY,101 Railway Ave,LAMBERT,MT,59243,Corporation,23,04/27/2020,Stockman Bank of Montana
"d $350,000-1 million","NORTH FORK BUILDERS OF MONTANA, INC",1045 Reeves Road Unit A,BOZEMAN,MT,59715,Subchapter S Corporation,42,04/03/2020,American Bank
"d $350,000-1 million","NORTH WEST HOME CARE, INC",818 W CENTRAL AVE,MISSOULA,MT,59801,Corporation,155,04/09/2020,Farmers State Bank
"d $350,000-1 million",NORTHEAST MONTANA STAT AIR AMBULANCE COOPERATIVE,81 AIRPORT RD,GLASGOW,MT,59230,Non-Profit Organization,27,04/09/2020,Independence Bank
"d $350,000-1 million",NORTHERN CHEYENNE TRIBAL HOUSING AUTHORITY,822 N Cheyenne Ave,LAME DEER,MT,59043,Corporation,50,05/29/2020,First Interstate Bank
"d $350,000-1 million",NORTHERN ROCKIES MEDICAL CENTER INC.,802 2nd Street SE,CUT BANK,MT,59427,Non-Profit Organization,66,04/14/2020,First Interstate Bank
"d $350,000-1 million",NORTHERN ROCKIES ORTHOPAEDICS PLLP,"2740 SOUTH AVE W, STE 101",MISSOULA,MT,59804,Partnership,43,04/10/2020,First Interstate Bank
"d $350,000-1 million","NORTHERN WINZ CASINO, LLC",PO BOX 3028,BOX ELDER,MT,59521,Limited  Liability Company(LLC),71,04/29/2020,Independence Bank
"d $350,000-1 million","NORTHSTAR MEDICAL MANGEMENT, INC.",700 W Kent Ave Ste 1,MISSOULA,MT,59801,Limited  Liability Company(LLC),29,04/11/2020,First Interstate Bank
"d $350,000-1 million",NORTHWEST DRYWALL & ROOFING SUPPLY INC,1105 E OREGON ST,KALISPELL,MT,59901,Subchapter S Corporation,0,04/15/2020,Glacier Bank
"d $350,000-1 million",NORTHWEST NEWS CO INC.,1701 RANKIN ST,MISSOULA,MT,59808,Corporation,0,04/28/2020,Heritage Bank
"d $350,000-1 million","NORVAL ELECTRIC COOPERATIVE, INC",PO BOX 951,GLASGOW,MT,59230,Non-Profit Organization,18,05/14/2020,Independence Bank
"d $350,000-1 million","NOTBOHM MOTORS, INC.",710 Meadows Avenue,MILES CITY,MT,59301,Corporation,44,04/06/2020,Stockman Bank of Montana
"d $350,000-1 million",OBOZ FOOTWEAR LLC,201 S WALLACE,BOZEMAN,MT,59715,Limited  Liability Company(LLC),26,04/27/2020,Glacier Bank
"d $350,000-1 million",OHS BODY SHOP INC.,3560 US HIGHWAY 93 S,KALISPELL,MT,59901,Subchapter S Corporation,40,04/27/2020,Freedom Bank
"d $350,000-1 million","OPPORTUNITIES, INC.",905 1st Avenue N,GREAT FALLS,MT,59401,Non-Profit Organization,155,04/13/2020,First Interstate Bank
"d $350,000-1 million",ORDAINED REAL ESTATE LLC,1001 S Main St 700,KALISPELL,MT,59901,Limited  Liability Company(LLC),48,05/18/2020,Cross River Bank
"d $350,000-1 million",ORTHOPEDIC REHAB INC,"111 SUNNYVIEW LN, STE B",KALISPELL,MT,59901,Subchapter S Corporation,48,04/03/2020,Glacier Bank
"d $350,000-1 million",ORTHOPEDIC SURGICAL CENTER OF MONTANA,536 S COTTONWOOD RD,BOZEMAN,MT,59718,Subchapter S Corporation,18,04/04/2020,Glacier Bank
"d $350,000-1 million",OUTBACK POWER COMPANY,3101 VAUGHN ROAD,GREAT FALLS,MT,59404,Subchapter S Corporation,13,04/07/2020,Independence Bank
"d $350,000-1 million",OWENHOUSE HARWARE COMPANY,36 E MAIN ST,BOZEMAN,MT,59715,Subchapter S Corporation,90,04/04/2020,Glacier Bank
"d $350,000-1 million",PALMER ELECTRIC TECHNOLOGY,2407 HARVE AVE,MISSOULA,MT,59801,Corporation,26,04/03/2020,Glacier Bank
"d $350,000-1 million","PARADIGM CONTRACTORS, LLC",70 Lodgepole Lane,BOZEMAN,MT,59718,Limited  Liability Company(LLC),46,04/05/2020,First Interstate Bank
"d $350,000-1 million",PARTNERS CREATIVE INC.,603 Woody Street,MISSOULA,MT,59802,Subchapter S Corporation,24,04/12/2020,First Interstate Bank
"d $350,000-1 million","PAT'S OFFROAD, INC",1925 GRAND AVE STE 129,BILLINGS,MT,59102,Corporation,20,04/03/2020,The Yellowstone Bank
"d $350,000-1 million","PATHWAYS NATIONAL PAVING ASSOCIATES, INC.",120 1st Ave W,KALISPELL,MT,59901,Corporation,31,04/09/2020,Three Rivers Bank of Montana
"d $350,000-1 million",PDT INC,8275 Highway 10 W,MISSOULA,MT,59808,Subchapter S Corporation,58,04/09/2020,First Interstate Bank
"d $350,000-1 million","PEAK HEALTH AND WELLNESS CENTER, LLC",5000 BLUE MOUNTAIN RD,MISSOULA,MT,59804,Limited  Liability Company(LLC),69,04/03/2020,Glacier Bank
"d $350,000-1 million","PEARSON DESIGN GROUP, INC",102 N BROADWAY AVE,BOZEMAN,MT,59715,Corporation,18,04/03/2020,Glacier Bank
